100 2500
0 1 -9
0 6 5
0 7 13
0 8 -9
0 17 12
0 18 2
0 20 21
0 21 28
0 25 25
0 27 27
0 28 13
0 29 17
0 32 -5
0 33 -7
0 34 20
0 38 30
0 39 8
0 44 1
0 45 7
0 49 -3
0 50 19
0 51 13
0 54 -8
0 56 12
0 57 17
0 59 -1
0 64 15
0 65 22
0 67 26
0 70 1
0 72 16
0 73 2
0 74 -9
0 75 25
0 76 -1
0 77 8
0 78 -2
0 79 -2
0 81 11
0 82 29
0 84 14
0 86 26
0 88 -1
0 89 -7
0 90 9
0 92 -1
0 93 29
0 95 23
0 96 -9
0 99 3
1 2 18
1 4 5
1 5 6
1 6 21
1 7 2
1 11 10
1 13 22
1 18 18
1 19 13
1 20 14
1 21 4
1 22 13
1 23 -1
1 24 -5
1 27 -5
1 28 -8
1 30 15
1 33 10
1 35 20
1 36 28
1 38 -4
1 39 22
1 40 13
1 41 16
1 42 1
1 47 25
1 48 17
1 52 29
1 54 23
1 57 -8
1 58 -9
1 59 18
1 62 -9
1 65 3
1 71 16
1 73 -8
1 74 1
1 78 23
1 79 26
1 80 30
1 81 22
1 85 30
1 86 29
1 89 27
1 90 -1
1 93 11
1 96 27
1 98 -1
1 99 -6
2 3 -7
2 4 30
2 6 30
2 8 7
2 11 26
2 12 1
2 15 22
2 16 2
2 21 1
2 25 11
2 31 -2
2 32 -10
2 35 21
2 38 20
2 39 3
2 40 17
2 41 14
2 47 20
2 48 24
2 49 4
2 50 24
2 51 8
2 52 16
2 53 14
2 56 28
2 57 24
2 58 12
2 60 24
2 62 8
2 65 9
2 69 1
2 70 29
2 71 23
2 72 -9
2 75 -5
2 76 17
2 80 18
2 81 26
2 84 -9
2 85 29
2 86 -6
2 87 5
2 88 20
2 89 1
2 91 12
2 92 25
2 93 9
2 97 19
2 99 20
3 4 7
3 7 -7
3 8 5
3 9 26
3 10 -2
3 11 21
3 12 24
3 13 7
3 14 5
3 16 20
3 17 16
3 19 -9
3 20 14
3 21 26
3 22 29
3 23 5
3 24 8
3 25 17
3 26 11
3 31 1
3 35 1
3 38 17
3 41 26
3 43 -9
3 47 1
3 48 -10
3 52 11
3 53 28
3 54 -6
3 56 -2
3 58 -4
3 60 -5
3 65 11
3 66 23
3 67 17
3 69 15
3 72 -10
3 76 10
3 78 9
3 83 14
3 85 18
3 86 11
3 87 11
3 89 16
3 92 23
3 93 10
3 95 12
3 99 15
4 5 18
4 6 -2
4 7 17
4 12 -4
4 13 3
4 14 16
4 15 9
4 18 5
4 19 12
4 20 4
4 24 24
4 26 -10
4 29 27
4 30 18
4 32 18
4 33 23
4 36 30
4 37 29
4 38 -7
4 40 16
4 43 19
4 46 9
4 47 26
4 53 -1
4 56 28
4 57 17
4 58 21
4 59 -9
