100 540
0 1 22
0 12 -6
0 14 3
0 17 7
0 30 17
0 66 11
0 79 6
0 86 -6
0 91 1
0 98 2
1 2 5
1 8 29
1 26 27
1 39 2
1 45 14
1 50 11
1 69 15
1 70 1
1 77 3
1 80 -4
2 3 8
2 4 11
2 19 5
2 41 -7
2 51 -10
2 60 5
2 63 23
2 71 27
2 76 -6
2 78 -4
3 4 -1
3 11 24
3 21 2
3 27 -7
3 29 22
3 53 -2
3 59 -5
3 62 30
3 69 -9
3 95 -10
4 5 17
4 14 -10
4 20 4
4 24 2
4 32 -5
4 35 -9
4 36 21
4 60 28
4 68 24
4 84 25
5 6 -4
5 34 24
5 36 1
5 37 19
5 46 18
5 49 30
5 67 5
5 68 20
5 71 -10
5 78 6
6 7 23
6 18 -3
6 23 4
6 47 -1
6 55 13
6 61 4
6 70 -8
6 74 -7
6 85 -9
6 88 -2
7 8 4
7 16 -3
7 27 23
7 33 -1
7 42 13
7 46 -1
7 61 -7
7 65 21
7 84 -7
7 89 29
8 9 14
8 25 19
8 35 13
8 37 -2
8 42 -2
8 50 25
8 57 7
8 58 -1
8 60 17
8 70 30
9 10 15
9 11 16
9 16 18
9 18 1
9 44 -5
9 47 28
9 56 23
9 73 -1
9 97 11
10 11 8
10 16 7
10 43 29
10 46 17
10 62 -1
10 71 24
10 85 14
10 90 14
10 91 -4
11 12 22
11 25 25
11 40 3
11 42 24
11 46 2
11 57 22
11 63 1
11 66 -1
11 75 6
12 13 13
12 21 -5
12 24 10
12 28 6
12 48 27
12 62 -8
12 79 19
12 81 11
12 92 6
13 14 7
13 22 -7
13 38 27
13 50 -8
13 55 21
13 64 -4
13 72 -5
13 97 10
13 98 15
14 15 20
14 28 1
14 29 18
14 41 -5
14 47 -7
14 49 18
14 76 19
14 79 19
14 97 23
15 16 2
15 24 14
15 32 4
15 60 30
15 79 1
15 81 28
15 85 -6
15 95 -3
15 99 -10
16 17 16
16 23 23
16 27 27
16 28 -4
16 39 4
16 61 5
16 63 11
16 88 30
16 99 -2
17 18 27
17 20 6
17 36 20
17 42 1
17 49 -1
17 55 22
17 57 12
17 60 15
17 72 25
18 19 6
18 33 -9
18 38 29
18 56 -9
18 65 -7
18 69 12
18 75 11
18 86 21
18 93 -4
19 20 30
19 28 1
19 65 26
19 69 10
19 82 14
19 89 22
19 93 21
19 99 -10
20 21 23
20 22 28
20 27 -10
20 33 10
20 44 -6
20 49 15
20 51 -7
20 72 18
21 22 18
21 29 24
21 36 5
21 44 26
21 53 28
21 74 -8
21 77 4
21 82 18
22 23 16
22 24 25
22 33 1
22 47 10
22 58 -2
22 61 3
22 62 6
22 97 14
23 24 9
23 46 -1
23 50 28
23 52 13
23 58 -10
23 73 4
23 91 16
23 98 -5
24 25 -5
24 44 4
24 75 7
24 79 1
24 80 2
24 86 14
24 91 24
24 97 -5
25 26 3
25 27 -4
25 43 23
25 46 30
25 48 14
25 61 10
25 63 -10
25 80 27
26 27 6
26 32 -1
26 39 13
26 43 10
26 56 11
26 80 7
26 82 26
26 83 17
27 28 17
27 47 9
27 50 18
27 62 6
27 74 4
27 83 14
27 88 29
27 95 13
28 29 14
28 47 7
28 50 6
28 65 -7
28 79 5
28 82 27
28 91 21
28 94 7
29 30 7
29 40 24
29 53 11
29 66 3
29 73 -1
29 80 4
29 99 15
30 31 1
30 51 24
30 53 -8
30 68 20
30 72 16
