1000 50400
0 1 8
0 23 7
0 35 2
0 63 -1
0 93 6
0 96 7
0 98 -8
0 103 -1
0 106 4
0 113 4
0 127 -2
0 130 -1
0 154 5
0 164 -3
0 172 -2
0 186 -4
0 187 6
0 191 -3
0 200 -7
0 205 2
0 217 9
0 219 -9
0 233 8
0 242 -5
0 247 -4
0 257 -4
0 267 -4
0 270 -3
0 275 -4
0 276 9
0 287 9
0 290 -1
0 306 -8
0 321 2
0 323 -9
0 330 4
0 347 2
0 349 6
0 351 -5
0 366 1
0 388 -2
0 394 2
0 397 -8
0 404 2
0 406 -5
0 425 1
0 427 6
0 440 -8
0 443 1
0 453 2
0 457 8
0 476 8
0 480 10
0 523 -1
0 526 -1
0 556 -7
0 557 1
0 566 -6
0 574 -2
0 575 9
0 613 -4
0 615 1
0 629 -2
0 653 1
0 654 5
0 662 9
0 673 -3
0 684 6
0 686 7
0 687 4
0 689 3
0 690 -9
0 709 -4
0 710 -8
0 728 9
0 734 -10
0 736 5
0 748 -1
0 751 -9
0 780 -3
0 783 1
0 809 -3
0 816 10
0 829 8
0 836 -6
0 841 -7
0 844 2
0 855 -6
0 863 3
0 866 9
0 870 9
0 899 -10
0 919 -6
0 921 -1
0 924 10
0 936 7
0 951 -10
0 972 -9
0 975 -8
0 977 -9
1 2 -8
1 5 7
1 11 -6
1 12 -5
1 29 -7
1 31 -9
1 35 9
1 42 9
1 45 2
1 56 7
1 65 -2
1 103 -9
1 109 4
1 112 1
1 114 -7
1 117 1
1 118 -3
1 119 2
1 128 -10
1 135 1
1 146 4
1 157 -7
1 170 -10
1 174 2
1 178 -2
1 181 -1
1 187 5
1 191 -1
1 204 -3
1 224 2
1 225 -6
1 227 6
1 255 3
1 264 -8
1 267 -2
1 274 -4
1 277 -8
1 278 9
1 279 -8
1 317 -2
1 369 7
1 370 -5
1 396 10
1 397 -1
1 398 1
1 400 1
1 406 3
1 413 3
1 450 -9
1 457 1
1 469 6
1 472 9
1 473 -4
1 505 10
1 528 8
1 534 -4
1 542 -2
1 550 4
1 551 8
1 557 -9
1 574 4
1 586 -3
1 588 1
1 611 -10
1 616 1
1 619 9
1 626 -2
1 632 10
1 644 -4
1 649 -7
1 652 -6
1 660 4
1 662 6
1 665 1
1 674 -7
1 676 -6
1 685 1
1 703 -5
1 732 -5
1 737 -1
1 740 -4
1 758 9
1 759 2
1 772 1
1 793 -5
1 797 1
1 807 -6
1 818 -5
1 838 10
1 839 9
1 843 -10
1 860 5
1 870 7
1 873 -3
1 877 2
1 882 -1
1 945 -10
1 953 6
1 957 7
1 974 7
2 3 -6
2 6 4
2 10 1
2 11 1
2 35 7
2 48 1
2 51 5
2 64 2
2 86 -9
2 88 1
2 110 1
2 118 -2
2 119 9
2 122 -9
2 143 1
2 151 -7
2 152 -6
2 158 5
2 163 9
2 165 -2
2 174 -7
2 179 6
2 203 -5
2 232 -9
2 234 6
2 265 1
2 272 3
2 303 -7
2 309 8
2 337 -9
2 343 2
2 345 -3
2 348 7
2 349 -8
2 353 -10
2 367 -10
2 375 2
2 380 5
2 394 -6
2 401 -1
2 417 8
2 425 4
2 439 7
2 446 -9
2 452 -1
2 469 -6
2 470 4
2 481 2
2 500 6
2 508 3
2 529 10
2 539 -9
2 546 7
2 558 2
2 564 -8
2 591 9
2 594 -8
2 611 7
2 625 -6
2 634 -3
2 652 -1
2 658 -7
2 663 -7
2 668 -1
2 681 7
2 685 8
2 686 1
2 689 -8
2 701 4
2 721 1
2 729 -3
2 733 -2
2 736 -6
2 770 1
2 772 5
2 779 -2
2 812 -5
2 813 -8
2 836 3
2 841 -6
2 850 -1
2 855 8
2 879 4
2 882 7
2 883 -6
2 886 2
2 888 1
2 892 10
2 894 -4
2 920 6
2 931 2
2 937 6
2 942 9
2 947 -5
2 950 10
2 952 6
2 956 8
2 982 -8
2 993 6
2 996 -9
3 4 -7
3 6 8
3 11 9
3 14 5
3 35 10
3 43 3
3 80 -3
3 92 1
3 101 -3
3 103 10
3 105 9
3 124 9
3 129 1
3 138 3
3 143 -7
3 163 -1
3 173 1
3 180 3
3 193 -2
