5000 64975
0 1 5
0 532 1
0 707 1
0 708 5
0 938 3
0 1003 9
0 1322 10
0 1554 -6
0 2013 -5
0 2208 7
0 2773 -9
0 2965 -6
0 3038 -5
0 3132 7
0 3147 -10
0 3273 -10
0 3471 -3
0 3789 10
0 3871 3
0 4029 -10
0 4063 9
0 4101 -8
0 4118 3
0 4545 5
0 4795 -9
1 2 6
1 282 -6
1 610 3
1 669 -10
1 671 2
1 974 1
1 1267 -9
1 1324 7
1 1512 2
1 1647 -4
1 2023 -1
1 2391 -1
1 2399 7
1 2465 -10
1 2591 1
1 2659 1
1 3172 -8
1 3233 5
1 3289 9
1 3523 2
1 3878 9
1 4081 -1
1 4125 -1
1 4329 -7
1 4928 -8
2 3 -6
2 25 -5
2 676 10
2 748 4
2 756 9
2 819 -4
2 1076 -3
2 1460 -3
2 1641 4
2 1750 5
2 1759 -4
2 2265 -7
2 2363 -6
2 2454 -2
2 2580 -2
2 3271 -7
2 3328 3
2 3333 -3
2 3397 -10
2 3541 -2
2 3549 7
2 3724 1
2 4228 4
2 4729 6
2 4889 -7
3 4 8
3 800 6
3 864 8
3 929 10
3 1161 3
3 1364 8
3 1373 1
3 1530 1
3 1622 -10
3 1824 -2
3 2007 -2
3 2193 7
3 2454 1
3 2576 -10
3 2953 -7
3 2993 -9
3 3379 10
3 3600 2
3 3797 2
3 3843 3
3 4152 -3
3 4645 -1
3 4657 9
3 4719 6
3 4820 -4
4 5 -4
4 56 1
4 126 -8
4 158 10
4 334 -4
4 703 5
4 724 8
4 795 7
4 874 -10
4 898 7
4 1189 -2
4 1291 1
4 1689 5
4 1943 2
4 2159 3
4 2336 3
4 2484 -8
4 2613 5
4 2813 -8
4 3047 5
4 3522 -3
4 3731 2
4 3734 4
4 4716 -1
4 4882 -8
5 6 5
5 88 -1
5 481 -7
5 766 10
5 1022 1
5 1102 5
5 1181 1
5 1295 -8
5 1320 5
5 1809 2
5 1925 4
5 2110 -10
5 2216 -5
5 2231 2
5 2407 10
5 2606 -3
5 2773 -8
5 3117 -9
5 3207 1
5 3833 -6
5 4143 2
5 4204 -8
5 4225 7
5 4808 5
5 4980 5
6 7 -9
6 56 -8
6 210 5
6 605 9
6 684 1
6 881 2
6 1123 1
6 1216 -7
6 1232 -2
6 1233 1
6 1445 -4
6 1667 3
6 1678 -9
6 1781 -3
6 1791 -10
6 2269 -3
6 2344 -4
6 3069 -8
6 3138 -9
6 3154 -7
6 3680 9
6 3856 4
6 4277 -5
6 4286 1
6 4658 -6
7 8 1
7 44 -3
7 173 4
7 231 6
7 329 1
7 371 5
7 592 -5
7 678 8
7 1045 9
7 1805 10
7 1828 6
7 1970 -2
7 2255 6
7 2383 -2
7 2648 -10
7 2713 -2
7 2903 4
7 3128 -9
7 3353 -5
7 3460 3
7 3895 -10
7 4352 9
7 4568 1
7 4590 3
7 4594 1
8 9 -6
8 225 7
8 283 4
8 579 -1
8 698 -8
8 1228 -4
8 1774 1
8 1815 10
8 2353 -10
8 2632 2
8 3028 2
8 3437 10
8 3469 4
8 3483 7
8 3534 -9
8 3572 -10
8 3670 -7
8 3816 -10
8 3930 2
8 4495 10
8 4499 8
8 4535 -10
8 4604 5
8 4673 -8
8 4939 5
9 10 7
9 208 -5
9 232 1
9 313 -1
9 531 2
9 686 -6
9 737 8
9 907 -5
9 1581 -2
9 1654 2
9 2220 2
9 2312 -7
9 2399 -1
9 2823 -9
9 2938 10
9 3139 -5
9 3321 1
9 3392 -2
9 3478 9
9 3656 8
9 3835 7
9 3966 5
9 4320 8
9 4545 1
9 4561 -8
10 11 4
10 65 -7
10 205 -3
10 388 7
10 644 6
10 668 -1
10 886 2
10 1282 1
10 1459 -8
10 1467 2
10 1738 9
10 1984 -7
10 2257 10
10 3056 1
10 3426 -6
10 3466 3
10 3536 -4
10 3569 5
10 3614 -10
10 4230 -10
10 4252 1
10 4435 9
10 4837 -8
10 4926 9
10 4945 2
11 12 9
11 204 7
11 812 1
11 861 2
11 883 9
11 1071 4
11 1376 -5
11 1554 -4
11 1896 1
11 2035 4
11 2220 -1
11 2337 3
11 2518 4
11 2735 -3
11 3277 3
11 3311 1
11 3417 -6
11 3669 -9
11 4070 -2
11 4152 6
11 4279 1
11 4417 -5
11 4498 10
11 4958 5
11 4999 -10
12 13 6
12 616 1
12 920 -6
12 1223 -4
12 1241 3
12 1435 2
12 1723 6
12 1735 -5
12 1773 -5
12 1776 2
12 1846 4
12 1880 1
12 2033 -4
12 2286 10
12 2302 2
12 2314 5
12 2328 10
12 2435 -1
12 2560 10
12 3222 -6
12 4318 7
12 4418 -8
12 4470 7
12 4627 2
12 4902 -1
13 14 5
13 170 -2
13 358 7
13 414 -1
13 803 -1
13 895 4
13 919 9
13 1400 4
13 1798 1
13 1821 1
13 1990 -2
13 2048 2
13 2074 -10
13 2146 7
13 2283 1
13 2380 -9
13 2491 1
13 2496 -9
13 2524 2
13 3186 10
13 3244 -1
13 3345 3
13 4276 7
13 4822 3
13 4869 8
14 15 10
14 259 2
14 431 -7
14 755 -9
14 886 -1
14 892 3
14 988 8
14 1349 -4
14 1506 -6
14 1679 10
14 1748 -8
14 1751 -1
14 1833 9
14 1977 -1
14 2076 2
14 2087 -9
14 2237 3
14 2760 1
14 3211 -2
14 3298 -6
14 3324 2
14 3403 7
14 3860 -9
14 4209 -7
14 4241 1
15 16 3
15 168 10
15 228 -6
15 340 2
15 590 5
15 909 -6
15 958 2
15 1731 -10
15 2171 7
15 2783 -4
15 2835 5
15 2840 -4
15 3153 4
15 3181 -9
15 3333 7
15 3409 8
15 3698 1
15 4046 5
15 4238 6
15 4480 -1
15 4622 -4
15 4702 -5
15 4759 -1
15 4850 9
15 4879 -3
16 17 4
16 325 -1
16 360 9
16 1087 -9
16 1125 7
16 1242 6
16 1287 -2
16 1334 1
16 1337 -4
16 1357 10
16 2013 1
16 2221 -4
16 2290 8
16 2922 -4
16 2963 9
16 3089 1
16 3273 8
16 3320 -7
16 3433 -6
16 3511 1
16 3795 3
16 4140 9
16 4366 9
16 4416 2
16 4597 -9
17 18 -10
17 108 8
17 287 -4
17 288 -4
17 531 -10
17 889 -7
17 1068 10
17 1235 4
17 1404 -5
17 1534 8
17 1588 -4
17 1813 -4
17 2334 -6
17 2491 2
17 2613 8
17 2675 8
17 3058 8
17 3088 1
17 3106 -6
17 3426 3
17 3982 -10
17 4116 7
17 4309 1
17 4559 -10
17 4771 -6
18 19 -4
18 86 -2
18 284 8
18 730 6
18 1014 10
18 1375 -9
18 1605 4
18 1617 -5
18 1631 4
18 1890 1
18 2038 -1
18 2648 -3
18 2903 -10
18 2912 -7
18 3217 -7
18 3923 4
18 3946 1
18 4105 -4
18 4281 8
18 4358 1
18 4379 5
18 4387 10
18 4496 -10
18 4668 2
18 4697 -9
19 20 -5
19 184 1
19 207 10
19 526 2
19 1079 1
19 1477 -3
19 1578 6
19 1816 3
19 2237 10
19 2512 10
19 2575 -5
19 2609 -5
19 2697 -2
19 2706 -9
19 2831 6
19 2832 9
19 2858 -6
19 3321 -6
19 3352 -2
19 3478 4
19 3548 1
19 3867 -6
19 4015 -8
19 4692 -5
19 4900 3
20 21 10
20 151 -8
20 193 -3
20 260 -9
20 442 5
20 604 3
20 673 1
20 1067 7
20 1677 5
20 2358 -2
20 2387 8
20 2777 6
20 2877 8
20 2905 2
20 3160 8
20 3389 5
20 3545 -5
20 3629 7
20 3813 -9
20 3836 5
20 4037 -6
20 4183 6
20 4235 10
20 4498 -10
20 4822 9
21 22 1
21 69 -3
21 277 -9
21 726 10
21 869 -10
21 1150 1
21 1301 -7
21 1612 -9
21 1621 -4
21 1947 8
21 2134 10
21 2205 3
21 2262 6
21 2590 -3
21 2595 10
21 2612 -8
21 2766 -5
21 2981 1
21 3052 6
21 3519 -3
21 3797 -2
21 3979 3
21 4694 -4
21 4732 4
21 4932 -5
22 23 5
22 334 -5
22 382 2
22 485 -10
22 728 -8
22 947 -1
22 971 -4
22 1240 8
22 1367 -7
22 1608 -10
22 1669 -10
22 1918 -4
22 2426 7
22 2636 -8
22 2939 -8
22 3137 -8
22 3144 2
22 3213 4
22 3250 1
22 3492 6
22 3908 10
22 4091 -4
22 4222 7
22 4668 8
22 4964 2
23 24 10
23 505 -2
23 562 -9
23 658 -1
23 703 6
23 1042 7
23 1291 9
23 1336 2
23 1735 8
23 1789 -7
23 2295 9
23 2444 2
23 2458 10
23 2758 3
23 2808 -6
23 2925 -7
23 3227 9
23 3290 -8
23 3325 3
23 3368 2
23 3526 -4
23 3973 6
23 4137 3
23 4992 -4
23 4995 8
24 25 2
24 364 -8
24 551 -5
24 772 1
24 1225 8
24 1248 -2
24 1438 -6
24 1790 2
24 1925 -5
24 1959 6
24 2474 -7
24 2779 -3
24 2931 -6
24 3248 6
24 3445 2
24 3473 -9
24 3694 -7
24 3790 1
24 3916 -7
24 4175 -1
24 4275 4
24 4422 9
24 4454 2
24 4557 -1
24 4770 3
25 26 -3
25 227 -9
25 262 -3
25 344 5
25 373 1
25 659 -1
25 765 -2
25 835 3
25 1486 9
25 1814 -5
25 1834 6
25 1924 7
25 1977 -2
25 1978 -8
25 1994 -7
25 2537 5
25 2834 6
25 3104 9
25 3262 5
25 3386 -4
25 3588 -10
25 4039 8
25 4380 7
25 4836 8
25 4894 1
26 27 3
26 397 7
26 760 10
26 795 -6
26 1426 -4
26 1467 5
26 1876 5
26 1912 -9
26 2013 -1
26 2127 1
26 2333 8
26 2403 -8
26 2523 5
26 2789 -2
26 2898 1
26 3089 -10
26 3234 1
26 3291 -6
26 3526 9
26 3562 1
26 3631 -3
26 3868 -4
26 4721 -3
26 4868 -2
26 4941 5
27 28 4
27 375 2
27 815 -9
27 1175 -1
27 1235 2
27 1693 -10
27 1861 -7
27 2002 3
27 2107 1
27 2520 5
27 2707 10
27 3048 -4
27 3184 -9
27 3232 4
27 3322 -7
27 3423 -10
27 3574 6
27 3980 -1
27 4498 10
27 4507 9
27 4533 7
27 4537 10
27 4741 -9
27 4751 -2
27 4863 -1
28 29 5
28 109 -7
28 408 6
28 644 1
28 1192 -8
28 1679 4
28 1924 5
28 1965 -2
28 2176 7
28 2225 -3
28 2244 -3
28 2750 2
28 2789 8
28 2917 1
28 3016 -1
28 3531 -7
28 3772 6
28 3861 8
28 3862 -8
28 3986 7
28 4057 3
28 4098 8
28 4166 2
28 4207 -2
28 4864 9
29 30 8
29 138 -9
29 354 5
29 717 3
29 739 -3
29 745 10
29 841 5
29 845 -7
29 1465 -3
29 1717 9
29 1816 5
29 1946 8
29 2052 9
29 2368 1
29 2560 2
29 2931 -8
29 3001 1
29 3039 -3
29 3132 1
29 3974 -3
29 4326 -9
29 4335 -9
29 4556 -2
29 4729 8
29 4967 4
30 31 2
30 188 4
30 356 -6
30 487 3
30 669 4
30 786 -10
30 1331 -5
30 1467 -9
30 1495 -3
30 1564 2
30 1635 9
30 1918 -10
30 1934 1
30 2110 -10
30 2150 2
30 2598 -7
30 2834 8
30 2878 -6
30 3193 7
30 3665 1
30 4568 -9
30 4582 8
30 4713 5
30 4931 -7
30 4948 -6
31 32 -6
31 306 -4
31 378 4
31 1188 -6
31 1214 -8
31 1313 3
31 1363 -2
31 1658 -10
31 1705 -10
31 1976 -2
31 2000 2
31 2325 1
31 2350 3
31 2404 2
31 2441 10
31 2591 6
31 2667 -5
31 3171 2
31 3621 -2
31 3748 4
31 3900 -10
31 4009 -5
31 4521 4
31 4761 -5
31 4796 -2
32 33 -3
32 189 3
32 600 6
32 919 -10
32 1082 1
32 1323 8
32 1637 7
32 1740 3
32 1829 -4
32 2161 4
32 2673 -1
32 2798 9
32 2967 2
32 3105 -7
32 3322 -1
32 3495 5
32 3499 1
32 3653 7
32 3924 8
32 4290 10
32 4416 8
32 4456 -1
32 4783 7
32 4812 8
32 4822 -6
33 34 2
33 115 -8
33 338 -1
33 376 -1
33 690 3
33 975 -8
33 1016 -7
33 1192 1
33 1347 1
33 1388 1
33 1617 -5
33 1661 -10
33 1812 -4
33 1890 -4
33 1997 -9
33 2143 9
33 2269 9
33 2281 -10
33 2755 -1
33 2802 10
33 2866 -9
33 2917 1
33 2972 -8
33 3639 5
33 4683 -2
34 35 3
34 37 4
34 57 3
34 258 -9
34 388 2
